,PID,Trial,Condition,Measure,Response
7056,9,1,Mismatched Hand,Body Ownership,-2.0
7057,9,2,Alien Hand,Body Ownership,-3.0
7058,9,3,Matched Hand,Body Ownership,2.0
7059,9,4,Mismatched Hand,Body Ownership,-2.0
7060,9,5,Alien Hand,Body Ownership,-3.0
7061,9,6,Matched Hand,Body Ownership,0.0
7062,9,7,Mismatched Hand,Body Ownership,-2.0
7063,9,8,Alien Hand,Body Ownership,-3.0
7064,9,9,Matched Hand,Body Ownership,2.0
7065,10,1,Matched Hand,Body Ownership,3.0
7066,10,2,Alien Hand,Body Ownership,2.0
7067,10,3,Mismatched Hand,Body Ownership,1.0
7068,10,4,Matched Hand,Body Ownership,2.0
7069,10,5,Alien Hand,Body Ownership,-3.0
7070,10,6,Mismatched Hand,Body Ownership,0.0
7071,10,7,Matched Hand,Body Ownership,2.0
7072,10,8,Alien Hand,Body Ownership,0.0
7073,10,9,Mismatched Hand,Body Ownership,1.0
7074,11,1,Matched Hand,Body Ownership,-2.0
7075,11,2,Mismatched Hand,Body Ownership,-3.0
7076,11,3,Alien Hand,Body Ownership,-3.0
7077,11,4,Matched Hand,Body Ownership,2.0
7078,11,5,Mismatched Hand,Body Ownership,-3.0
7079,11,6,Alien Hand,Body Ownership,-3.0
7080,11,7,Matched Hand,Body Ownership,1.0
7081,11,8,Mismatched Hand,Body Ownership,-3.0
7082,11,9,Alien Hand,Body Ownership,-3.0
7083,12,1,Alien Hand,Body Ownership,-1.0
7084,12,2,Mismatched Hand,Body Ownership,-3.0
7085,12,3,Matched Hand,Body Ownership,1.0
7086,12,4,Alien Hand,Body Ownership,-3.0
7087,12,5,Mismatched Hand,Body Ownership,-3.0
7088,12,6,Matched Hand,Body Ownership,1.0
7089,12,7,Alien Hand,Body Ownership,-3.0
7090,12,8,Mismatched Hand,Body Ownership,-3.0
7091,12,9,Matched Hand,Body Ownership,2.0
7092,13,1,Matched Hand,Body Ownership,2.0
7093,13,2,Alien Hand,Body Ownership,-1.0
7094,13,3,Mismatched Hand,Body Ownership,1.0
7095,13,4,Matched Hand,Body Ownership,1.0
7096,13,5,Alien Hand,Body Ownership,0.0
7097,13,6,Mismatched Hand,Body Ownership,1.0
7098,13,7,Matched Hand,Body Ownership,2.0
7099,13,8,Alien Hand,Body Ownership,-1.0
7100,13,9,Mismatched Hand,Body Ownership,0.0
7101,14,1,Alien Hand,Body Ownership,-1.0
7102,14,2,Mismatched Hand,Body Ownership,1.0
7103,14,3,Matched Hand,Body Ownership,1.0
7104,14,4,Alien Hand,Body Ownership,1.0
7105,14,5,Mismatched Hand,Body Ownership,1.0
7106,14,6,Matched Hand,Body Ownership,2.0
7107,14,7,Alien Hand,Body Ownership,-1.0
7108,14,8,Mismatched Hand,Body Ownership,1.0
7109,14,9,Matched Hand,Body Ownership,2.0
7110,15,1,Matched Hand,Body Ownership,3.0
7111,15,2,Alien Hand,Body Ownership,-3.0
7112,15,3,Mismatched Hand,Body Ownership,3.0
7113,15,4,Matched Hand,Body Ownership,3.0
7114,15,5,Alien Hand,Body Ownership,-3.0
7115,15,6,Mismatched Hand,Body Ownership,3.0
7116,15,7,Matched Hand,Body Ownership,3.0
7117,15,8,Alien Hand,Body Ownership,-3.0
7118,15,9,Mismatched Hand,Body Ownership,3.0
7119,16,1,Matched Hand,Body Ownership,3.0
7120,16,2,Alien Hand,Body Ownership,1.0
7121,16,3,Mismatched Hand,Body Ownership,3.0
7122,16,4,Matched Hand,Body Ownership,1.0
7123,16,5,Alien Hand,Body Ownership,0.0
7124,16,6,Mismatched Hand,Body Ownership,2.0
7125,16,7,Matched Hand,Body Ownership,3.0
7126,16,8,Alien Hand,Body Ownership,0.0
7127,16,9,Mismatched Hand,Body Ownership,-3.0
7128,17,1,Alien Hand,Body Ownership,-3.0
7129,17,2,Mismatched Hand,Body Ownership,3.0
7130,17,3,Matched Hand,Body Ownership,-1.0
7131,17,4,Alien Hand,Body Ownership,-3.0
7132,17,5,Mismatched Hand,Body Ownership,2.0
7133,17,6,Matched Hand,Body Ownership,2.0
7134,17,7,Alien Hand,Body Ownership,2.0
7135,17,8,Mismatched Hand,Body Ownership,3.0
7136,17,9,Matched Hand,Body Ownership,2.0
7137,18,1,Mismatched Hand,Body Ownership,2.0
7138,18,2,Matched Hand,Body Ownership,1.0
7139,18,3,Alien Hand,Body Ownership,2.0
7140,18,4,Mismatched Hand,Body Ownership,0.0
7141,18,5,Matched Hand,Body Ownership,1.0
7142,18,6,Alien Hand,Body Ownership,0.0
7143,18,7,Mismatched Hand,Body Ownership,0.0
7144,18,8,Matched Hand,Body Ownership,1.0
7145,18,9,Alien Hand,Body Ownership,1.0
7146,19,1,Mismatched Hand,Body Ownership,-1.0
7147,19,2,Alien Hand,Body Ownership,0.0
7148,19,3,Matched Hand,Body Ownership,2.0
7149,19,4,Mismatched Hand,Body Ownership,1.0
7150,19,5,Alien Hand,Body Ownership,0.0
7151,19,6,Matched Hand,Body Ownership,1.0
7152,19,7,Mismatched Hand,Body Ownership,1.0
7153,19,8,Alien Hand,Body Ownership,1.0
7154,19,9,Matched Hand,Body Ownership,2.0
