,PID,Mismatched_Hand,Alien_Hand,Matched_Hand
0,9,-2.0,-3.0,2.0
1,9,-2.0,-3.0,0.0
2,9,-2.0,-3.0,2.0
3,10,3.0,2.0,1.0
4,10,2.0,-3.0,0.0
5,10,2.0,0.0,1.0
6,11,-2.0,-3.0,-3.0
7,11,2.0,-3.0,-3.0
8,11,1.0,-3.0,-3.0
9,12,-1.0,-3.0,1.0
10,12,-3.0,-3.0,1.0
11,12,-3.0,-3.0,2.0
12,13,2.0,-1.0,1.0
13,13,1.0,0.0,1.0
14,13,2.0,-1.0,0.0
15,14,-1.0,1.0,1.0
16,14,1.0,1.0,2.0
17,14,-1.0,1.0,2.0
18,15,3.0,-3.0,3.0
19,15,3.0,-3.0,3.0
20,15,3.0,-3.0,3.0
21,16,3.0,1.0,3.0
22,16,1.0,0.0,2.0
23,16,3.0,0.0,-3.0
24,17,-3.0,3.0,-1.0
25,17,-3.0,2.0,2.0
26,17,2.0,3.0,2.0
27,18,2.0,1.0,2.0
28,18,0.0,1.0,0.0
29,18,0.0,1.0,1.0
30,19,-1.0,0.0,2.0
31,19,1.0,0.0,1.0
32,19,1.0,1.0,2.0
33,20,-1.0,1.0,2.0
34,20,-2.0,1.0,1.0
35,20,-2.0,0.0,1.0
36,21,2.0,3.0,3.0
37,21,0.0,0.0,3.0
38,21,2.0,2.0,3.0
39,22,0.0,-3.0,-3.0
40,22,-3.0,-3.0,-1.0
41,22,-3.0,2.0,0.0
42,23,3.0,0.0,2.0
43,23,2.0,1.0,2.0
44,23,3.0,0.0,1.0
45,24,-1.0,2.0,2.0
46,24,-1.0,3.0,-1.0
47,24,-3.0,3.0,0.0
48,25,2.0,1.0,1.0
49,25,2.0,0.0,1.0
50,25,2.0,-1.0,1.0
51,26,1.0,1.0,-3.0
52,26,1.0,2.0,-3.0
53,26,1.0,3.0,-2.0
54,27,1.0,-1.0,2.0
55,27,1.0,-1.0,1.0
56,27,-1.0,2.0,1.0
57,28,3.0,0.0,3.0
58,28,2.0,1.0,1.0
59,28,-1.0,1.0,1.0
60,29,0.0,1.0,-3.0
61,29,1.0,2.0,-3.0
62,29,-2.0,-3.0,-2.0
63,30,2.0,1.0,-1.0
64,30,1.0,2.0,-1.0
65,30,2.0,1.0,-2.0
66,31,1.0,3.0,1.0
67,31,3.0,3.0,2.0
68,31,2.0,3.0,2.0
69,32,2.0,2.0,2.0
70,32,2.0,1.0,1.0
71,32,2.0,1.0,-1.0
72,33,-2.0,-2.0,0.0
73,33,0.0,-2.0,2.0
74,33,1.0,0.0,2.0
75,34,3.0,3.0,-3.0
76,34,-3.0,3.0,-3.0
77,34,1.0,3.0,1.0
78,35,-3.0,1.0,2.0
79,35,-3.0,1.0,2.0
80,35,1.0,2.0,2.0
81,36,1.0,-1.0,-2.0
82,36,2.0,-1.0,-2.0
83,36,1.0,-1.0,-2.0
84,37,3.0,2.0,-3.0
85,37,-1.0,2.0,-2.0
86,37,-1.0,2.0,-1.0
87,38,0.0,0.0,-1.0
88,38,1.0,0.0,-1.0
89,38,1.0,1.0,-2.0
90,39,1.0,2.0,3.0
91,39,3.0,2.0,2.0
92,39,2.0,2.0,-3.0
93,40,2.0,3.0,3.0
94,40,1.0,3.0,3.0
95,40,1.0,2.0,2.0
96,41,2.0,2.0,-3.0
97,41,0.0,2.0,-3.0
98,41,-2.0,2.0,-3.0
