PID,Alien Hand,Matched Hand,Mismatched Hand
10,2.0,2.0,1.0
100,-3.0,-1.0,-3.0
101,-3.0,1.0,2.0
102,1.0,2.0,-3.0
103,-2.0,3.0,3.0
104,-1.0,3.0,2.0
105,-1.0,1.0,-1.0
106,3.0,3.0,3.0
107,-3.0,1.0,-2.0
108,0.0,2.0,1.0
109,-3.0,0.0,2.0
11,-3.0,-2.0,-3.0
110,2.0,2.0,2.0
111,1.0,1.0,2.0
112,-3.0,3.0,3.0
113,-2.0,2.0,-1.0
114,-1.0,1.0,1.0
115,3.0,1.0,-1.0
116,2.0,3.0,1.0
117,3.0,3.0,3.0
118,-3.0,1.0,-3.0
119,-3.0,3.0,1.0
12,-3.0,1.0,-3.0
120,-3.0,2.0,-2.0
13,-1.0,2.0,1.0
14,-1.0,2.0,1.0
15,-3.0,3.0,3.0
16,0.0,3.0,3.0
17,-3.0,2.0,3.0
18,2.0,1.0,0.0
19,0.0,2.0,1.0
20,1.0,-2.0,1.0
21,2.0,3.0,3.0
22,-3.0,-3.0,-3.0
23,0.0,3.0,2.0
24,-1.0,2.0,3.0
25,1.0,2.0,1.0
26,-3.0,1.0,1.0
27,1.0,1.0,-1.0
28,3.0,1.0,1.0
29,-3.0,0.0,1.0
30,-1.0,2.0,1.0
31,3.0,2.0,1.0
32,2.0,1.0,2.0
33,-2.0,-2.0,2.0
34,-3.0,3.0,3.0
35,-3.0,1.0,2.0
36,-2.0,1.0,-1.0
37,-1.0,2.0,-3.0
38,-1.0,0.0,1.0
39,3.0,1.0,2.0
40,1.0,3.0,3.0
41,-3.0,2.0,2.0
42,1.0,1.0,0.0
43,-1.0,2.0,-1.0
44,-2.0,3.0,1.0
45,-3.0,1.0,-2.0
46,-2.0,1.0,2.0
47,1.0,3.0,2.0
48,-3.0,3.0,-1.0
49,3.0,3.0,3.0
50,1.0,2.0,1.0
51,-3.0,1.0,-1.0
52,-3.0,2.0,-1.0
53,-1.0,2.0,2.0
54,0.0,0.0,0.0
55,1.0,0.0,-1.0
56,3.0,3.0,3.0
57,0.0,0.0,0.0
58,-1.0,1.0,-1.0
59,2.0,3.0,2.0
60,-1.0,2.0,0.0
61,-3.0,2.0,1.0
62,-3.0,0.0,-1.0
63,3.0,3.0,3.0
64,-3.0,3.0,-2.0
65,2.0,2.0,2.0
66,-2.0,2.0,-2.0
67,0.0,2.0,1.0
68,2.0,2.0,1.0
69,-2.0,2.0,1.0
70,2.0,3.0,1.0
71,2.0,3.0,3.0
72,-1.0,1.0,1.0
73,1.0,2.0,2.0
74,2.0,2.0,-2.0
75,-1.0,3.0,-1.0
76,2.0,2.0,2.0
77,-3.0,3.0,-3.0
78,0.0,2.0,1.0
79,-2.0,1.0,3.0
80,1.0,3.0,2.0
81,-1.0,2.0,1.0
82,-1.0,3.0,-1.0
83,-1.0,1.0,0.0
84,-3.0,1.0,0.0
85,0.0,3.0,3.0
86,-3.0,1.0,-3.0
87,3.0,2.0,2.0
88,-3.0,1.0,2.0
89,-3.0,-2.0,0.0
9,-3.0,2.0,-2.0
90,-2.0,-1.0,1.0
91,3.0,2.0,1.0
92,-1.0,1.0,-1.0
93,-3.0,2.0,1.0
94,1.0,2.0,-1.0
95,-3.0,2.0,1.0
96,-2.0,1.0,-2.0
97,-3.0,2.0,0.0
98,3.0,3.0,3.0
99,1.0,1.0,1.0
