PID,Mismatched_Hand,Alien_Hand,Matched_Hand
10,2.0,0.0,1.0
100,0.0,-3.0,-3.0
101,1.0,2.0,-3.0
102,0.0,-1.0,2.0
103,-2.0,3.0,3.0
104,3.0,-1.0,2.0
105,-1.0,-1.0,1.0
106,3.0,2.0,3.0
107,1.0,-2.0,-3.0
108,1.0,1.0,0.0
109,0.0,-3.0,2.0
11,1.0,-3.0,-3.0
110,2.0,2.0,2.0
111,2.0,2.0,1.0
112,-3.0,3.0,3.0
113,-1.0,-2.0,2.0
114,1.0,-1.0,1.0
115,-1.0,1.0,2.0
116,1.0,2.0,3.0
117,3.0,0.0,3.0
118,1.0,-3.0,-3.0
119,3.0,-3.0,1.0
12,-3.0,-3.0,1.0
120,-3.0,2.0,-2.0
13,2.0,-1.0,1.0
14,-1.0,1.0,2.0
15,3.0,-3.0,3.0
16,3.0,0.0,2.0
17,-3.0,3.0,2.0
18,0.0,1.0,1.0
19,1.0,0.0,2.0
20,-2.0,1.0,1.0
21,2.0,2.0,3.0
22,-3.0,-3.0,-1.0
23,3.0,0.0,2.0
24,-1.0,3.0,0.0
25,2.0,0.0,1.0
26,1.0,2.0,-3.0
27,1.0,-1.0,1.0
28,2.0,1.0,1.0
29,0.0,1.0,-3.0
30,2.0,1.0,-1.0
31,2.0,3.0,2.0
32,2.0,1.0,1.0
33,0.0,-2.0,2.0
34,1.0,3.0,-3.0
35,-3.0,1.0,2.0
36,1.0,-1.0,-2.0
37,-1.0,2.0,-2.0
38,1.0,0.0,-1.0
39,2.0,2.0,2.0
40,1.0,3.0,3.0
41,0.0,2.0,-3.0
42,-1.0,1.0,0.0
43,2.0,-1.0,0.0
44,1.0,3.0,-1.0
45,1.0,-2.0,-3.0
46,2.0,1.0,-2.0
47,1.0,1.0,3.0
48,3.0,-1.0,-3.0
49,3.0,3.0,2.0
50,-1.0,2.0,-1.0
51,1.0,-1.0,-3.0
52,-1.0,2.0,-2.0
53,-1.0,2.0,2.0
54,0.0,0.0,0.0
55,1.0,-1.0,1.0
56,3.0,3.0,3.0
57,0.0,0.0,0.0
58,-1.0,-1.0,1.0
59,2.0,2.0,3.0
60,2.0,0.0,-1.0
61,2.0,1.0,-3.0
62,-1.0,0.0,-3.0
63,3.0,2.0,3.0
64,1.0,3.0,-3.0
65,2.0,2.0,2.0
66,-2.0,2.0,-2.0
67,1.0,2.0,0.0
68,1.0,1.0,2.0
69,1.0,2.0,-2.0
70,1.0,2.0,3.0
71,2.0,3.0,2.0
72,1.0,1.0,-1.0
73,2.0,2.0,1.0
74,2.0,-2.0,2.0
75,3.0,-1.0,-1.0
76,1.0,2.0,2.0
77,-3.0,3.0,-3.0
78,0.0,1.0,2.0
79,3.0,-2.0,1.0
80,1.0,2.0,3.0
81,1.0,2.0,-1.0
82,3.0,-1.0,-1.0
83,-1.0,-1.0,1.0
84,0.0,1.0,-3.0
85,3.0,3.0,1.0
86,-3.0,1.0,-3.0
87,1.0,2.0,1.0
88,1.0,1.0,0.0
89,0.0,-2.0,-3.0
9,-2.0,-3.0,2.0
90,-2.0,-1.0,1.0
91,1.0,0.0,2.0
92,-1.0,1.0,-1.0
93,1.0,2.0,-3.0
94,-1.0,2.0,0.0
95,-1.0,2.0,-3.0
96,1.0,-1.0,-2.0
97,2.0,-3.0,0.0
98,3.0,3.0,3.0
99,1.0,1.0,1.0
